Segmentasi,Status,New/ Existing,Product,offer status,B/W (Mbps),OTC,MRC,GRAND TOTAL,Cluster
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.0,0.10909090909090909,0.0013529411764705882,0.059268537074148295,0
ISP & ICT,in Building,NEW,INFYLINK MIX,ACTIVE,0.003,0.0,0.03529411764705882,0.028056112224448898,5
OTOMOTIF,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.004,0.05454545454545454,0.047058823529411764,0.06813627254509018,3
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.0025,0.02727272727272727,0.008823529411764706,0.020541082164328657,5
ISP & ICT,in Building,NEW,SMARTLINK,ACTIVE,0.0,0.0,0.003529411764705882,0.0010020040080160322,5
MANUFAKTUR,in Building,NEW,INFYLINK MIX,ACTIVE,0.001,0.05454545454545454,0.029411764705882353,0.0531062124248497,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.0005,0.03636363636363636,0.023529411764705882,0.038076152304609215,0
MANUFAKTUR,in Building,EXISTING,INFYLINK MIX,ACTIVE,0.01,0.08181818181818182,0.1764705882352941,0.1933867735470942,3
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,0
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.029411764705882353,0.038076152304609215,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.01,0.05454545454545454,0.11764705882352941,0.1282565130260521,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.001,0.045454545454545456,0.029411764705882353,0.04809619238476954,0
MANUFAKTUR,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.05454545454545454,0.015294117647058823,0.041082164328657314,0
EDUCATION,Greenfield,NEW,SMARTLINK,NEGOTIATION,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,4
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.001,0.045454545454545456,0.029411764705882353,0.04809619238476954,0
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.015294117647058823,0.021042084168336674,0
RETAIL CONSUMER GOODS,in Building,NEW,INFYLINK MIX,LOST ,0.003,0.02727272727272727,0.04470588235294117,0.05110220440881763,3
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.001,0.02727272727272727,0.010588235294117647,0.022044088176352707,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.001,0.07272727272727272,0.03529411764705882,0.06813627254509018,0
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.005,0.05454545454545454,0.052941176470588235,0.07314629258517033,4
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.025,0.05454545454545454,0.029411764705882353,0.0531062124248497,0
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.007500000000000001,0.045454545454545456,0.021176470588235293,0.041082164328657314,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,PO WON,0.01,0.03636363636363636,0.11176470588235293,0.11322645290581163,1
RETAIL CONSUMER GOODS,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.11764705882352941,0.1282565130260521,1
ISP & ICT,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.029411764705882353,0.038076152304609215,5
HOREKA JKT,in Building,NEW,SMARTLINK,ACTIVE,0.01,0.02727272727272727,0.09999999999999999,0.09819639278557114,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,DISSENGGAGED,0.01,0.05454545454545454,0.08235294117647059,0.09819639278557114,1
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.015294117647058823,0.021042084168336674,4
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.05,0.02727272727272727,0.09999999999999999,0.09819639278557114,0
HEALTH FACILITY,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.05454545454545454,0.09411764705882353,0.10821643286573146,0
